,Job Descriptions
315,java developer role open remote work brickell miami lake office summary end developer design develop application deliver value customer work closely product owner developer qa engineer shape product proactively gather requirement ensure high quality software ensure solution test extensible maintainable secure perform essential duty responsibility include follow duty special project assign design develop component application deliver value customer work closely product owner developer qa engineer shape product ensure solution test extensible maintainable secure perform troubleshoot debug code proactively review test work provide peer review work work team developer company continuously improve approach development ensure clear documentation create modify functionality independently propose create solution drive idea generation peer stakeholder organization identify area require improvement education andor experience bachelor degree computer science minimum 5 year experience develop end java capable transform business requirement technical design deep technical understanding java 8 spring hibernate expertise create consume rest base api web base application experience distribute system oo principle service orient architecture soa spring cloud aws experience plus addition require education experience follow attribute desire passion drive change efficiency partner different discipline verse enterprise software development budgeting resource management design pattern testing code practice deployment lifecycle management use agile lean principle product think able large problem series small job expect outcome organize process orient
316,backend developer elance group lead hr consultancy cater manpower requirement pan india basis client lead fintech company office usa noida job location noida job profile backend developer responsibility participate develop refining product requirement develop server functionality product feature python django stack develop unit test integration test skill qualification experience backend web developer python django proficient modern open source relational database postgre mysql proficient database design modelling expert django orm template form capability proficient django class base view proficient develop rest api django rest framework proficient html css expert bootstrap ui framework proficient sass proficient write automate unit test proficient write integration test rest api hand experience web socket backend hand experience cache effectively improve performance hand experience integrate 3rd party server api experience celery redis ability solve technical problem creatively ability thing time high energy level passion technology extremely detail orient result orient positive highly energetic job type time salary  35000000  47500000 year experience 5 year 1 year require education bachelor require
317,django developer python django developer 4 6 year experience develop test deploy scalable web application aws deployment experience elastic beanstalk ec2 s3 webrtc live stream real time communication ai machine learn library experience numpy scipy scikit learn theano tensorflow keras pytorch panda matplotlib relate library good experience develop backend rest api django rest framework good experience create database structure mysql database frontend development html5 css3 javascript jquery add advantage expect start date 5102020 job type time salary  3500000  7000000 month experience total work 4 year prefer python 4 year require education bachelor prefer location bengaluru karnataka require work remotely temporarily covid19
318,database administrator job detail description position title database administrator report information technology product owner datum reporting location farmington hill mi description alliance inspection management aim nation premier vehicle inspection company aim provide automotive industry lead company inspection technology solution aim employ 800 inspector north america ha develop award win technology solution continue revolutionize automotive industry aim quickly grow company seek innovative motivated employee ii responsibility install configure support oracle postgre database business system environment rollout monitor application control upgrade monitor database space capacity estimate size growth requirement database performance tuning review tune complex sql statement maintain backup recovery procedure assume ownership database relate problem pursue short long term problem resolution root cause analysis collaborate application infrastructure team solve database level issue include availability stability database environment work vendor application support team gather information determine implement resolution proactively research identify database level patch upgrade provide 247 pager onsite support maintain standard operating procedure specifically focus stable database environment develop maintain shell script require database monitor performance metric mentor pl sql development team datum management analyst iii qualification bachelor degree preferably computer science technology engineering equivalent relevant work experience excellent communication skill 3 5 year experience oracle administration 1 3 year work experience postgre aws environment work knowledge sql pl sql basic knowledge data guard enterprise manager proficiency performance tuning database environment good unix shell scripting experience oracle ocp certification plus knowledge sql server plus iv physical requirement attendance availability regular consistent attendance availability v compensation salary commensurate experience vi classification position salary exempt eligible overtime time employee eligible participate aim benefit plan include medical dental 401k completion 60 day employment 90 401k begin month aim provide equal employment opportunity regard applicant race sex pregnancy sexual orientation age physical mental disability medical condition religion veteran status applicant disability entitle reasonable accommodation term american disability act certain state local law reasonable accommodation change way thing normally ensure equal employment opportunity impose undue hardship aim inform u need assistance complete form participate application process comply federal law alliance inspection management llc participate e verify
319,machine learn department development location noida experience 1 2 year join time immediate ideal candidate experience late technique artificial intelligence natural language processing machine learning include deep learn approach experience real time collaboration plus responsibility use nlp ml technique bring order unstructured datum experience extract signal noise large unstructured dataset plus work engineering team design code train test deploy iterate enterprise scale machine learn system work alongside excellent cross functional team engineering product design require skill experience apply machine learn technique natural language processing computer vision strong analytical problem solve skill solid software engineering skill multiple language include limit java python cc problem solver able work independently comfortable deadline milestone deep understanding ml technique classification cluster deep learning optimization method supervise unsupervised technique good communication skill easy attitude prove ability apply debug develop machine learning model real world application previous industry work experience require experience building application enterprise customer
320,network administrator look project coordinator fresher apply look experienced project coordinator technical knowledge find detail role responsibility communicate client capture project requirement translate requirement actionable step monitor current project coordinate team member involve work flow track identify area concern project health accuracy deliverable budget timeline organize attentive break project doable action set time frame work project manager eliminate blocker act point contact communicate project status participant coordinate ensure client need meet project evolve desire candidate profile candidate minimum 0 2 year experience project coordinator ideally digital understanding marketing advertising knowledge able manage development team willing learn new new technology strong analytical skill people management skill require candidate able communicate international client require great communication skill write verbal presentation preferably work similar role adequate knowledge project management tool role project manager software industry typeit software software service functional area software employment type time permanent role category project management job type time experience work 0 2 year require project management 0 2 year prefer total work 0 2 year prefer project management 0 2 year prefer education secondary10th pass preferred whatsapp cv 9i72 52 88 87 91 hr team
321,backend developer experience range 2 5 yrs experience salary range 15 25 lakh notice period 30 day tech stack java springboot kafka elastic search mysql aw etc glowroad 2 day work office monday friday remote work home option glowroad glowroad build india profitable social e commerce platform reseller share catalog product network facebook whatsapp instagram etc convert sale glowroad mission create micro entrepreneur reseller set web store market product track transaction glowroad platform glowroad app 10 m download 1 lakhs dau glowroad fund accel partner recently raise series b fund total 245 million usd scale operation india glowroad look team member passionate build platform billion user reimagine e commerce mobile user fun open energetic creative environment approachable leadership fill passionate people open communication provide high growth employee look look team member passionate build platform billion user imagine e commerce mobile user build solution personalization logistic search discovery payment fraud prevention scalability work solve problem elegantly end developer expect motivate solve real life complex problem create compelling experience reseller small company culture creative problem solve intellectual design fast pace development passionate product delivery enhance build restful web service mobile app responsibility develop server component rest api assume ownership exist new module include design development unit testing enhancement exist module development new module analyse problem logically exercise sound judgment define evaluate solve difficult technical operational problem solution precedent establish nature lead design architectural improvement participate collaborate team member design discussion determine area complexity potential risk successful implementation suggest enhancement architecture implement poc enhance application reduce technical debt quality code requirement solid ground computer science fundamental base bs ms cs relate field iit premier engineering college excellent object orientation couple excellent problem solve debug skill highly skilled java relate technology include java framework like spring boot drop wizard restful web service json servlet jsp mysql mongodb kafka aws solr hand experience build scalable secure end system hand experience system asynchronous restful demand concurrency good knowledge good software engineering practice stage software development life cycle include code standard code review test deployment experience level 2 4 year software development experience java web architecture scalable design application deadline 10122020 job type time salary  150000000 year experience programming 5 year prefer work 1 year prefer total work 2 year prefer education bachelor prefer work remotely speak employer 91 6361596830
322,software engineer spns service provider network system multi billion dollar business generate revenue primarily service provider edge core optical market spns organization india responsible development high end router like asr9000 crs ncs5500 ncs500 series optical switch like ncs4000 ncs2000 series excite career opportunity open experience software platform test engineer india role expectation        deliver outstanding quality sw customer achieve strong automate test suite knowledge deployment solution offering write automation test plan define automation strategy test case new feature solution test system test team value open communication empowerment innovation career development strong software test engineering methodology process knowledge skill require      experience automation automate test tool python experience test engineering concept methodology include test planning test case design test execution test automation good knowledge testing skill l2 ip mpls forwarding technology igp ospf isis bgp l2 vpn vpws vpls mpls ldp te frr segment route knowledge optical technology layer1 protocol otn sonet sdh prefer good working knowledge python automation methodology good work knowledge traffic generator analyzer eg agilent spirent ixia jdsu etc education experience            typically require ms bs ee cs combine 4 8 year industry experience wearecisco person unique bring talent work team difference power inclusive future embrace digital help customer implement change digital business think old 36 year strong hardware software company security company invent intuitive network adapt predict learn protect company box digital transformation buzz phrase culture allow innovation creativity yes failure learn day day focus good ego break build dna accountability bold step difference heart diversity think dedication equality forward colorful hair care tattoo ink like polka dot cool pop culture geek passion technology world change
323,machine learning job description  look highly motivated self starter machine learn engineer  responsibility select appropriate dataset datum representation  method datum mining state art technique  create maintain optimal datum pipeline architecture assemble large complex datum set  meet functional non functional business requirement  design develop machine learn system implement appropriate ml algorithm create deploy ai model production 00 800 year
324,network administrator responsibility perform lan wan debug perform route configuration network equipment perform fortinet firewall installations configuration perform wireless access point installation administration manage performance maintain security lan intermediate level assist implementation policy procedure lan wan usage organization upgrade maintain route equipment lan wan environment monitor communication equipment support new product process implementation document change upgrade maintenance procedure etc new document infrastructure manage lan wan traffic analysis monthly performance report network segment recommend use new product service senior management responsible remote user router account termination password etc need diagnose repair problem investigate system error ensure user accessibility require skill o strong oral write communication skill ability explain highly technical concept non technical audience o troubleshooting problem resolution skill o able function independently team environment minimal supervision qualification o 5  year experience router switch implementation support complex lan wan environment o 2  year experience firewall administration preferably fortinet load balancer o bachelor degree information technology computer science engineering equivalent work experience familiar network security principle tool good practice solid understanding route tcp ip bgp ospf vpn mpls solid understanding switch protocol vtp span tree port security qos experience network traffic analysis protocol analyzer manage desktop environment organisation camera security alarm device job type time salary  40000000  60000000 year experience work 1 year prefer total work 1 year prefer education secondary10th pass preferred work remotely
325,flutter developer 3  year experience require responsibility design build sophisticated highly scalable app flutter build custom package flutter functionality api available native android io translate build design wireframe hight quality reaponsive ui code write efficient query core datum use model view controller mvc model view viewmodel controller mvvm relate design develop architecture develop maintainable testable functional software meet product requirement explore feasible architecture implement new feature resolve problem exist system suggest add new feature complete system suggest space time efficient datum structure follow good practice develop app structure document use ci cd smooth deployment document project code efficiently manage code project git order sync team member manager communicate project manager status project suggest appropriate deadline new functionality ensure security guideline follow develop app validate cloud system ensure new change compromise security backend server suggest new feature andor enhancement consulting customer face representative software system design maintenance interact clinical specialist product manager help understand end user feedback maintain software product lifecycle include design development verification bug fix connect regularly quality assurance specialist deliver stable app resolve bug report quality assurance specialist timely manner perform time profiling memory leak assessment execute app verification protocol write test app follow company policy quality procedure ensure quality product deliverable requirement flutter build cross platform mobile app android io web include responsive ui efficiently query datum mange state optimize mannner native android io build custom flutter package firebase experience cloud firestore push notification cloud function analytic git manage collaborate different project rest team job type time salary  2000000  5000000 month schedule morning shift experience software development 1 year require work 1 year require total work 1 year require sql 1 year require education bachelor require work remotely
326,stack developer 16149br stack engineer austin tx job description opportunity mission unbreakhealthcare population health ha quickly foundation new value base care model healthcare system expertise system outreach capability effectively manage outcome patient population athenahealth population health service allow client achieve comprehensive understanding quality measure satisfaction identify patient need care conduct systematic patient outreach care management population health product zone include team work end middleware database etl analytic technology expect provide elegant robust technical solution enable team successful position summary athenahealth seek self motivate senior member technical staff implement cross product integration population health application collaborate closely team stack software developer implement integration service web application visualization senior mt focused core web application component need strong technical competence multiple area capacity function environment expert particular subject ideal candidate expertise object orient design development strong foundation api development usage ability collaborate successfully developer architect user experience designer product manager requirement education experience skill 5  year experience stack web application development sql server c net mvc angular react bachelor degree computer science relate field equivalent experience strong software engineering fundamental especially object orient design experience agile scrum environment prefer responsibility include limited technical execution primary responsibility produce accurate clear technical design specification appropriate level detail deliver customer value form high quality software component service adherence policy security performance longevity integration testing understand follow reinforce scrum methodology code convention architecture build process good practice exceptional skill build test failure analysis troubleshoot interested quickly learn leverage new strategic technology contribution team ownership team build consider customer happiness success criterion drive self organization help determine team function collaboration peer advise train team member maximize overall productivity effectiveness cross functional team coordination communication work collaboratively organization ensure alignment business goal build strong relationship cross functional team member vary experience level share business technical learn broad engineering product organization adapt approach different audience
327,software engineer hello mahindra choice wheels ltd rd division hire manual automation tester exp 2 10 year np 15 day location bangalore chennai mumbai delhi skill manual testing automation testing selenium web driver c net api testing database test role type permanent role shift uk shift 1200pm 900pm monday friday expect start date 21122020 job type time salary  100000000 year benefit cell phone reimbursement health insurance internet reimbursement life insurance pay sick time work home schedule monday friday supplemental pay join bonus experience api testing database 2 year require selenium web driver 3 year require manual tetse 3 year prefer education bachelor prefer work remotely temporarily covid19 speak employer 91 9566093265
328,machine learn empirix lead provider customer centric business solution provide unified view end end user behavior communication network service provider enterprise worldwide rely empirix accelerate new revenue optimize operational cost user experience customer loyalty innovative solution portfolio deliver business analytic proactive testing monitor transform customer network service behavior real time actionable intelligence role stack software engineer key position small grow team significant impact culture direction technology offer empirix value code quality passion curiosity code technology expect engineer ownership responsibility deliver solution comprise software component currently write cjava net angularjs javascript html5 css host private cloud premise utizlize ms sql datum store evaluate nosql db number internal project support core business primary product hammer generate 40 million phone year performance testing monitor infrastructure industry demand quality accountability expect team member responsibility include develop enhance cloud platform quality robustness security scale participate aspect product development feature definition estimation architecture implementation documentation testing deployment measurement refinement design develop generation line product collaborative ownership end component style implementation end component design implementation deployment performance monitor require skill 5  year relevant work experience strong knowledge java c ruby javascript nodejs restful api consume develop nosql database redi elasticsearch dynamodb mongodb etc sql database mysql postgre etc linux windows experience telecom experience team player comfortable work virtual environment motivate self starter work ethic fluent english bonus amazon aws experience ec2 lambda cloudformation dynamodb route53 etc kubernete event drive architecture distribute system machine learn css experience html experience react native io android development prepare programming skill previous project personal homepage stack overflow account open source contribution empirix accept pay fee unsolicited resume party agency vendor dedication diversity workforce empirix commit equal employment opportunity regard race ethnicity gender protect veteran status disability sexual orientation gender identity religion
329,machine learning job description look experienced data scientist excellent work knowledge nlp deep learning framework keen collaborate product engineering head notebook visualization ask right question connect dot uncover hide potential datum responsibility work lead datum strategist identify integrate new dataset leverage product capability work closely engineering team strategize execute development datum product develop advanced algorithm solve problem large dimensionality computationally efficient statistically effective manner execute application statistical datum mining technique eg hypothesis testing machine learn retrieval process large unstructured datum set identify trend figure relevant information evaluate emerge dataset technology development select asset accelerator create scale mandatory skillset deep understanding experience python library panda numpy regard large dataset processing linear algebra respectively excellent understanding statistic probability python ability write debug resolve issue complex sql script good experience nlp library spacy gensim nltk good understanding nlp concept stem lemmatization ner tf idf wordnet bag word rule base nlp vs statistical nlp current challenge nlp good experience notebook jupyter google collab aws sagemaker comfortable visualization matplotlib seaborn exposure scikit base machine learn model experience feature engineering concept feature selection feature transformation feature extraction experience aws service conceptual understanding aws lambda experience distribute training mlop modeljoblib pkl model deployment awareness approach ship train model production conceptual understanding poc deep learn basic neural network tensorflow keras classification regression optional skillset transfer learn bert experience datum warehouse like aws redshift snowflake google bigquery skill deep learning framework script nlp library testing python algorithm aw sql job type time salary  36012100  170641000 year schedule day shift experience total wornlp library spacy gensim nltkk 5 year prefer python library panda numpy 5 year prefer waw service conceptual understanding aws lambdaork 5 year prefer education secondary10th pass preferred
330,flutter developer responsibility duty experience build deploy moderately complex flutter app translate ui ux design code working firebase advance debug testing optimisation knowledge location service map common android io library experience 1 3 year prefer 00 300 year bachelor computer application bca master computer application mca bachelor technology btech be
331,software engineer description understand define feature function enhancement include code unit testing release production medium team responsibility understand exist ecosystem able add feature function enhancement design implement include code unit testing release production follow improve process special focus code review improve quality version new feature match exceed exist level contribute collaborative responsive team world class product service awareness question priority influence plan design requirement bs ms computer science relate field 4  year experience build multi thread solution linux android ios mac win experience develop c good communication skill email spec design doc bonus experience protocol rtp rtcp sip h323 experience packet error resilience rtx fec packet pacing contribution open source project culture innovation patent experience build av capture av rendering screen capture application network emulator build script utility operational excellence verizon recently acquire bluejean plan integrate bluejean employee verizon include compensation benefit program course position plan integration
332,software engineer experience web testing preferably finance domain experience functional integration testing system test datum integrity testing hand requirement analysis coordination developer bug fix coordination end user requirement study analysis experience manual testing prepare execute test case web base application job requirement strong logical analytical skill graduate post graduate it computer science complete testing course knowledge database knowledge bug tracking tool role testing engineer industry type banking financial service broke functional area software qa testing employment type time permanent role category programming design
333,django developer job summary publish 3 day ago vacancy 5 employment status time experience 0 2 yrs salary 17000 25000 interview venue hyderabad job description python junior developer look python junior developer python developer train develop support web application main scope project include end client code optimal efficient technology framework pattern python junior developer primary responsibility support design develop maintain enhance application essential python junior developer train problem solve solution design logical thinking high quality code responsibility python junior developer willing learn support deliver high quality application involve integrate end developer help write test server code analyze requirement design new functionality support fix exist functionality involve design building application layer primary skill python junior developer train willing learn python django react node express pythonscript html css database optimization aw ec2 rds ses s3 familiarity agile methodology test drive development software design pattern whatsapp cv 91 72 52 88 87 94 hr team skill structural design engineer asic design industrial designing python python scripting qualification master software engineering
334,javascript developer is senior expert world end prove track record experience domain end has prove track record work digital ecommerce project allow discussion partner business ha extensive knowledge basic web technology like html 5 css3 sass javascript typescript jquery ha work knowledge late standard like es6 webpack nodejs atomic scalable css bem ha work knowledge web performance web performance tooling like webpaget lighthouse experience relevant metric measure performance has work knowledge web security standard like owasp ha work knowledge accessibility accessibility guideline like wcag ha work knowledge seo seo guideline implementation seo good practice has work knowledge code quality testing tool framework jest linte ha work integrate rest api preferably work tool spec like postman swagger openapi 30 ha experience end code context adobe experience manager fully capable gray area end end eg jsp dialog ext js touch ui etc ha experience js framework like vue angular react 00 1000 year
335,database administrator administrative secretary position number 993833 requisition s00885 salary range pay rate  39693 annually position note position oakland university professional support association mea nea position incumbent represent mea nea position remain open minimum 5 work day external applicant consider qualified bargaining unit member receive interview initial consideration employee group grade c7 job category clerical technical work schedule ft reg 40 hour shift day time position pay schedule month number hrswk 40 position information position information minimum qualification high school graduation equivalent combination education experience year progressively responsible secretarial experience familiarity university policy rule regulation posse keyboarding skill necessary perform successfully position minimum 30 wpm ability select assemble organize datum edit report ability compose routine correspondence ability effectively interact public student faculty staff ability perform general bookkeepe clerical accounting ability prioritize expedite work assignment unit ability operate standard office equipment knowledge proper grammar spelling punctuation ability utilize proper standard office source manual desire qualification qualification require applicable collective bargaining agreement minimum additional desire qualification prefer qualification degree andor experience deem comparable andor equivalent oakland university sole exclusive discretion consider additional qualification ability perform function consistent intermediate word process intermediate spreadsheet intermediate database application demonstrate skill assessment position purpose provide responsible secretarial service operational office assistance assistant associate dean chairperson director principle administrator school department institute administrative unit
336,software engineer senior manager software engineering job description micro focus world large enterprise software provider deliver mission critical software digital world run combine pragmatism discipline customer centric innovation deliver trust prove solution customer need order succeed today rapidly evolve marketplace s high tech drama opportunity look dynamic highly motivated hand senior engineering manager lead develop team software engineer team develop manage product emerge cybersecurity predictive analytic area responsible lead team stack product development enterprise software good technical acuman aptitude oversee coach team agile practice build enterprise software performance scalability maintainability expect manage dynamic fast pace environment multitude technology responsible manage coordinate resource tuning process order quality timely delivery responsibility guide coach line manager senior technical member domain product ensure successful timely project delivery sufficient risk mitigation ensure time quality delivery train model different product line parallel exhibit cross functional knowledge monitor efficiency system process entire software development supply chain strategic engagement product management team customer face team understand product opportunity influence roadmap handle customer escalation provide swift action satisfactory experience customer ability create goal facilitate cascade line management provide clarity priority line organization goal strong write verbal communication skill able conduct effective group stakeholder meet strong interpersonal strength understand strength team conflict management work excellence effective talent management group set good hire training plan work group peer share goal effective budget utilization group good leadership negotiation skill deal ambiguity challenge interaction innovative thought process problem solve develop manage relationship organization inforce culture collaboration abreast late technology good practice apply relevant org champion good practice lead change adoption new process technology corrective action require require experience 18  year experience software development 6 year people manager enterprise application software development 4  year hand role application development object orient concept design programming experience work micro service architecture exhibit good problem solve skill strong fundamental agile development methodology lead multiple team simultaneously strong leadership project management provide right balance quality timeliness excellent people leadership skill mentor coach team establish credibility provide long term vision motivation team ability flexibility work cross functional member product management customer support representative designer test documentation desirable experience knowledge cyber datum security domain product understand certification os container scrum security domain experience interface manage service contractor team ensure smooth delivery experience develop deliver software behavioral test drive development bdd tdd model education bachelor degree andor master degree computer science computer engineering equivalent li sp2 job engineering micro focus proud equal opportunity employer prospective employee receive consideration discrimination race colour religion creed gender national origin age disability marital veteran status sexual orientation genetic information citizenship legally protect status
337,ios developer designation io developer experience 8 12 year ctc 20 lpa 24 lpa negotiable job location delhi time general shiftmon fri team size 50 200 transportation provide nearby delhi metro station mandatory competency proficient swift objective c arc non arc experience instrument memory optimization performance tuning experience ios framework like ui notification message foundation core image core motion etc experience different persistence mechanism like core datum sqllite realm etc familiarity rest soap api connect ios application backend service proficient understanding code versione tool git mercurial svn familiarity continuous integration job description design build application ios platform ensure performance quality responsiveness application collaborate team define design ship new feature identify correct bottleneck fix bug help maintain code quality organization automatization additional competency experience alamofire af network cocoapod carthage fastlane plus experience design pattern mvc mvvm plus experience functional reactive programming plus interview round 1 assessment 2 telephonic google meet technical 3 technical managerial 4 hr round job type time pay  200000000  240000000 year benefit cell phone reimbursement health insurance life insurance pay sick time schedule day shift flexible shift supplemental pay performance bonus covid19 consideration company follow mandate ensure safety security employee covid19 experience ios developer 6 year require industry software development work remotely
338,backend developer job brief look outstanding web developer responsible code innovative design layout website web developer responsibility include build website concept way completion fashion home page site layout function expert codeignitor responsibility write design testable efficient code good software development practice create website layout user interface standard html css practice integrate datum end service database gather refine specification requirement base technical need create maintain software documentation responsible maintain expand scale site stay plug emerge technology industry trend apply operation activity cooperate web designer match visual design intent requirement prove work experience web programming notch programming skill depth knowledge modern html css familiarity follow programming language php aspnet javascript codeignitor solid understanding web application work include security session management good development practice adequate knowledge relational database system object orient programming web application development hand experience network diagnostic network analytic tool basic knowledge search engine optimization process aggressive problem diagnosis creative problem solve skill strong organizational skill juggle multiple task constraint timeline budget business acuman ability work thrive fast pace environment learn rapidly master diverse web technology technique bs computer science relate field job type time pay  1500000  2500000 month job type time salary  1500000  2500000 month schedule monday friday experience 5 year 1 year prefer location thane maharashtra prefer language english marathi hindi preferred application question require skill php python css html bootstrap wordpress codeigniter industry marketing work remotely temporarily covid19
339,network administrator job description system administrator typically install upgrade monitor software hardware usually maintain essential operating system business application security tool web server email pc local wid job description system administrator typically install upgrade monitor software hardware usually maintain essential operating system business application security tool web server email pc local wide area network hardware software mid range server hardware experience 2 5 year salary 3 lac 4 lac 50 thousand pa industry software network administration security qualification bachelor degree key skill system administrator system maintenance system repair desktop maintenance
340,javascript developer customplugin inner margin leave 10 important customplugin inner back search wrapper width 100 important customplugin search display inline block important search display important jobtitle margin 430px important margin 585px important applylinkpull right margin right 10 mediamin width 767px jobtitle pull right float leave important margin leave 11 joblayouttoken margin 50px margin 50px mediamax width 633px jobtitle margin 480px important margin 716px important applylinkpull right margin right 5 joblayouttoken margin 50px end ui team lead react js redux javascript typescript job d 97793 day billion transaction message hold world communication fabric run system amdoc help create work large innovative company planet work impact past decade continually reinvent exciting new area medium game iot 5 g cloud service opportunity grow develop nurture entrepreneurial instinct open door promote ability seize day company comprise amazing people supportive atmosphere culture build mutual support respect feel good factor happen workplace build kind people amdoc employ career journey sentence responsible lead mentor small development team specific task project hand development need bachelor degree computer science equivalent total experience 55 8 year experience lead team 1  year extensive ui development experience react redux javascript typescript es6 understanding html5 css3 experience ui performance optimization technique proficient uml application design pattern exposure rest paradigm domain resource modelling concept integration ui exposure understand usability accessibility concept role responsibility provide leadership software engineer coach mentor end end software development maintenance lifecycle achieve project goal require level quality ownership accountability product provide technical guidance solution design new requirement problem resolution critical complex issue responsible code quality ensure code maintainable scalable supportable represent lead discussion relate product application module team build relationship internal customer stakeholder enforce quality process measure corrective action case variance ensure project agree deliverable complete require level quality build relationship internal customer stakeholder estimate complex software application project partner user experience product team implement augment design promote team engagement motivation love job challenge lead mentor small development team challenge lead technical aspect project opportunity work grow organization grow opportunity personal growth opportunity work industry advanced technology amdoc equal opportunity employer welcome applicant background commit foster diverse inclusive workforce buttontexte8bd0c76e0330e89 border 1px solid transparent buttontexte8bd0c76e0330e89 focus border 1px dash f05b55 important outline important buttontextd14a24054edd289c border 1px solid transparent buttontextd14a24054edd289c focus border 1px dash f05b55 important outline important perk benefit buttontext835ae7461a17968f border 1px solid transparent buttontext835ae7461a17968f focus border 1px dash f05b55 important outline important buttontext56ecb9be8d53f3c0 border 1px solid transparent buttontext56ecb9be8d53f3c0 focus border 1px dash f05b55 important outline important treat generous holiday gift amdoc buttontext3d96e8ab06c0b112 border 1px solid transparent buttontext3d96e8ab06c0b112 focus border 1px dash f05b55 important outline important access ton complementary learning upskille program stay new field buttontext42884c742e8dbd06 border 1px solid transparent buttontext42884c742e8dbd06 focus border 1px dash f05b55 important outline important buttontexte79069566a0789e8 border 1px solid transparent buttontexte79069566a0789e8 focus border 1px dash f05b55 important outline important enjoy generous pay parental leave policy buttontext2a14047985adc815 border 1px solid transparent buttontext2a14047985adc815 focus border 1px dash f05b55 important outline important enjoy wide range fun company activity family buttontexta7ed2e332e3e4773 border 1px solid transparent buttontexta7ed2e332e3e4773 focus border 1px dash f05b55 important outline important buttontext323fdffc406f2e2f border 1px solid transparent buttontext323fdffc406f2e2f focus border 1px dash f05b55 important outline important secure family future life disability insurance buttontext3610ee5c8c0d141f border 1px solid transparent buttontext3610ee5c8c0d141f focus border 1px dash f05b55 important outline important pay time volunteer cause passionate buttontexte12f66ab6877ddc7 border 1px solid transparent buttontexte12f66ab6877ddc7 focus border 1px dash f05b55 important outline important buttontext8208ae57feebd92b border 1px solid transparent buttontext8208ae57feebd92b focus border 1px dash f05b55 important outline important explore internal mobility opportunity experience different role amdoc buttontextfa4df32ff7f91f79 border 1px solid transparent buttontextfa4df32ff7f91f79 focus border 1px dash f05b55 important outline important stay ground wellbee mediation course lecture self development tool buttontext4809158c2b06a1fd border 1px solid transparent buttontext4809158c2b06a1fd focus border 1px dash f05b55 important outline important mediamin width 767px mediamin width 1401px customplugin085433b5f6e05514 width 62 important float leave important buttontexttopleft width 390px float leave margin leave 15 buttontextleft width 410px float right buttontextbottomleft width 100 float left margin leave 10 mediamax width 1400px min width 767px customplugin085433b5f6e05514 width 50 important float leave important buttontexttopleft width 440px float leave margin leave 15 margin 30px background size 100 buttontextleft width 440px float leave margin leave 15 background size 100 buttontextbottomleft width 100 float left margin leave 10 mediamax width 700px buttontexttopleft margin 30px large image component max height 1150px important buttontextbottomleft inner margin leave 0 buttontexttopleft p buttontextleft p margin 0 important buttontexttopleft inner buttontextleft inner margin leave 100px important margin 10px important buttontexttopleft buttontextleft pad top0 important padding bottom0 important min height 85px important customplugin buttontextbottomleft inner margin leave 3 important innershell similar job jobdisplayshell max width 100 important padding 0 important innershell content inner display table jobdisplayshell inner display block important search wrapper display table footer group important jobdisplayshell display table header group important joblayouttoken span joblayouttoken p joblayouttoken div color 000000 important jobdescription p jobdescription span jobdescription ol jobdescription font jobdescription form jobdescription li font family custom84352d5dcb11494dade7d important font size 17px important color 000000 important search search wrapper row back search wrapper width90 important max width90 important margin leave auto margin right auto padding leave 0 important padding right 0 important buttontextright li list style position outside important buttontextright h3 font size 20px important joblayouttoken h1 span background linear gradientto right eab330 0 ff279c 100 important webkit background clip text important webkit text fill color transparent important mediamin width 767px joblayouttoken width 50 margin leave 10 float leave buttontextright width 20 margin right 10 float right rowdisplaydtmroleimg width 360px margin right 10 float right similar job width 60 margin leave 10 margin 123px similar job label font weight 900 similar job background color df1995 important padding 10px 15px margin right 10px color white important border radius 5px text decoration important similar job hover background color f05b55 important similar job link margin 20px mediamax width 2100px min width 1400px rowdisplaydtmroleimg width 440px margin right 10 float right media max width 480px joblayouttoken span joblayouttoken p joblayouttoken div word break break word important joblayouttoken h1 font size 36px important
